iter	Passed	Remaining
311	591	1305
312	593	1301
313	594	1298
314	596	1296
315	597	1293
316	598	1290
317	599	1286
318	601	1283
319	602	1280
320	603	1276
321	604	1273
322	606	1270
323	607	1267
324	608	1263
325	610	1261
326	611	1258
327	612	1255
328	614	1252
329	615	1249
330	616	1246
331	617	1243
332	619	1239
333	620	1236
334	621	1234
335	623	1231
336	624	1229
337	626	1226
338	627	1223
339	629	1221
340	630	1218
341	631	1215
342	633	1213
343	634	1210
344	635	1207
345	637	1204
346	639	1203
347	640	1199
348	641	1196
349	642	1194
350	644	1190
351	645	1188
352	646	1185
353	648	1182
354	649	1180
355	650	1177
356	652	1174
357	654	1173
358	655	1170
359	657	1168
360	658	1165
361	659	1162
362	661	1160
363	662	1157
364	663	1154
365	665	1152
366	667	1150
367	668	1148
368	669	1145
369	671	1142
370	672	1140
371	674	1137
372	675	1135
373	676	1132
374	678	1130
375	679	1127
376	680	1124
377	682	1123
378	683	1120
379	685	1118
380	686	1115
381	687	1112
382	689	1110
383	690	1108
384	692	1106
385	694	1104
386	695	1101
387	697	1099
388	698	1097
389	700	1094
390	701	1092
391	702	1089
392	704	1087
393	705	1084
394	706	1082
395	708	1080
396	710	1078
397	711	1076
398	713	1074
399	715	1072
400	716	1070
401	718	1068
402	719	1066
403	721	1063
404	722	1061
405	723	1058
406	725	1057
407	727	1054
408	728	1052
409	729	1049
410	730	1047
411	732	1045
412	734	1043
413	735	1041
414	737	1039
415	739	1037
416	741	1036
417	742	1034
418	744	1032
419	746	1030
420	747	1028
421	749	1026
422	751	1024
423	752	1022
424	754	1021
425	756	1018
426	757	1016
427	759	1014
428	760	1012
429	762	1010
430	763	1008
431	765	1006
432	766	1004
433	768	1002
434	770	1000
435	771	998
436	773	996
437	775	994
438	776	992
439	778	990
440	780	988
441	782	987
442	784	985
443	785	984
444	787	982
445	789	980
446	790	978
447	792	976
448	794	974
449	797	974
450	799	972
451	800	970
452	802	968
453	804	967
454	805	965
455	807	962
456	808	960
457	810	959
458	812	957
459	814	955
460	815	953
461	817	952
462	819	950
463	820	948
464	822	946
465	824	944
466	826	943
467	828	941
468	829	939
469	831	937
470	832	935
471	833	932
472	834	930
473	836	928
474	837	925
475	839	924
476	841	922
477	842	920
478	844	918
479	846	916
480	847	914
481	849	912
482	850	910
483	852	908
484	853	906
485	855	904
486	857	903
487	859	901
488	860	899
489	861	896
490	863	894
491	864	892
492	865	890
493	867	888
494	869	886
495	870	884
496	872	882
497	873	880
498	874	878
499	876	876
500	877	873
501	878	871
502	880	869
503	881	867
504	882	865
505	884	863
506	885	861
507	886	858
508	887	856
509	889	854
510	890	852
511	891	849
512	892	847
513	894	845
514	895	843
515	896	841
516	898	839
517	899	836
518	900	834
519	901	832
520	902	830
521	904	828
522	905	825
523	906	823
524	908	821
525	909	819
526	910	817
527	911	815
528	913	813
529	914	810
530	915	808
531	916	806
532	917	804
533	918	801
534	920	799
535	921	797
536	922	795
537	923	793
538	924	790
539	926	788
540	927	786
541	928	784
542	929	782
543	930	780
544	931	778
545	933	775
546	934	773
547	935	771
548	936	769
549	937	767
550	939	765
551	940	763
552	942	761
553	943	759
554	945	757
555	946	755
556	947	753
557	949	751
558	950	749
559	951	747
560	952	745
561	954	744
562	956	742
563	957	740
564	959	738
565	960	736
566	961	734
567	963	732
568	964	730
569	966	728
570	967	726
571	969	725
572	970	723
573	971	721
574	972	718
575	973	716
576	975	714
577	976	712
578	977	710
579	978	708
580	979	706
581	980	704
582	982	702
583	983	700
584	984	698
585	986	696
586	987	694
587	988	692
588	989	690
589	990	688
590	991	686
591	992	684
592	993	682
593	994	680
594	996	678
595	997	676
596	998	674
597	1000	672
598	1001	670
599	1002	668
600	1003	666
601	1004	664
602	1006	662
603	1007	660
604	1008	658
605	1009	656
606	1011	654
607	1012	652
608	1013	650
609	1014	648
610	1015	646
611	1016	644
612	1018	642
613	1019	640
614	1020	638
615	1021	636
616	1022	634
617	1023	632
618	1025	631
619	1026	629
620	1027	627
621	1028	625
622	1030	623
623	1031	621
624	1032	619
625	1033	617
626	1034	615
627	1035	613
628	1037	611
629	1039	610
630	1041	608
631	1043	607
632	1044	605
633	1046	604
634	1048	602
635	1049	600
636	1051	599
637	1052	597
638	1054	595
639	1056	594
640	1058	592
641	1059	590
642	1061	589
643	1062	587
644	1064	585
645	1065	584
646	1067	582
647	1069	580
648	1070	579
649	1072	577
650	1073	575
651	1074	573
652	1076	571
653	1077	570
654	1079	568
655	1080	566
656	1082	565
657	1084	563
658	1085	561
659	1087	560
660	1089	558
661	1090	556
662	1092	555
663	1093	553
664	1095	551
665	1096	550
666	1098	548
667	1100	546
668	1101	545
669	1103	543
670	1104	541
671	1106	540
672	1107	538
673	1109	536
674	1111	534
675	1113	533
676	1114	531
677	1116	530
678	1117	528
679	1119	526
680	1120	525
681	1122	523
682	1124	521
683	1125	519
684	1127	518
685	1128	516
686	1130	515
687	1131	513
688	1133	511
689	1134	509
690	1136	508
691	1137	506
692	1139	504
693	1141	503
694	1143	501
695	1144	499
696	1146	498
697	1147	496
698	1149	494
699	1150	493
700	1152	491
701	1153	489
702	1156	488
703	1157	486
704	1159	485
705	1160	483
706	1162	481
707	1163	479
708	1165	478
709	1167	476
710	1168	474
711	1170	473
712	1173	472
713	1174	470
714	1176	468
715	1177	467
716	1179	465
717	1180	463
718	1182	462
719	1185	460
720	1187	459
721	1188	457
722	1189	455
723	1191	454
724	1193	452
725	1194	450
726	1196	449
727	1197	447
728	1200	446
729	1202	444
730	1203	442
731	1205	441
732	1206	439
733	1208	438
734	1210	436
735	1212	434
736	1214	433
737	1216	431
738	1218	430
739	1219	428
740	1220	426
741	1222	425
742	1224	423
743	1225	421
744	1227	420
745	1229	418
746	1231	417
747	1233	415
748	1236	414
749	1238	412
750	1240	411
751	1241	409
752	1244	408
753	1246	406
754	1247	404
755	1249	403
756	1250	401
757	1252	399
758	1253	398
759	1255	396
760	1256	394
761	1259	393
762	1261	391
763	1263	390
764	1264	388
765	1266	386
766	1267	385
767	1269	383
768	1271	381
769	1273	380
770	1275	378
771	1276	377
772	1278	375
773	1280	373
774	1281	372
775	1283	370
776	1284	368
777	1286	367
778	1288	365
779	1290	363
780	1291	362
781	1293	360
782	1295	358
783	1296	357
784	1298	355
785	1300	354
786	1302	352
787	1304	350
788	1305	349
789	1307	347
790	1309	345
791	1310	344
792	1312	342
793	1313	340
794	1315	339
795	1317	337
796	1319	336
797	1320	334
798	1322	332
799	1323	330
800	1325	329
801	1327	327
802	1328	325
803	1330	324
804	1332	322
805	1334	321
806	1335	319
807	1337	317
808	1338	316
809	1340	314
810	1341	312
811	1343	310
812	1345	309
813	1347	307
814	1348	306
815	1350	304
816	1351	302
817	1353	301
818	1354	299
819	1355	297
820	1357	295
821	1358	294
822	1360	292
823	1361	290
824	1362	289
825	1363	287
826	1365	285
827	1366	283
828	1367	282
829	1368	280
830	1370	278
831	1371	276
832	1372	275
833	1374	273
834	1375	271
835	1377	270
836	1378	268
837	1379	266
838	1380	264
839	1381	263
840	1383	261
841	1384	259
842	1385	258
843	1386	256
844	1388	254
845	1390	253
846	1391	251
847	1393	249
848	1395	248
849	1396	246
850	1397	244
851	1398	242
852	1400	241
853	1401	239
854	1403	238
855	1405	236
856	1406	234
857	1407	232
858	1409	231
859	1410	229
860	1411	227
861	1412	226
862	1413	224
863	1415	222
864	1417	221
865	1418	219
866	1419	217
867	1420	216
868	1422	214
869	1423	212
870	1424	210
871	1425	209
872	1426	207
873	1428	205
874	1429	204
875	1430	202
876	1432	200
877	1433	199
878	1434	197
879	1436	195
880	1437	194
881	1438	192
882	1439	190
883	1440	189
884	1442	187
885	1443	185
886	1444	184
887	1446	182
888	1447	180
889	1448	179
890	1449	177
891	1451	175
892	1452	174
893	1453	172
894	1455	170
895	1456	169
896	1457	167
897	1458	165
898	1460	164
899	1461	162
900	1463	160
901	1464	159
902	1465	157
903	1466	155
904	1467	154
905	1469	152
906	1470	150
907	1471	149
908	1472	147
909	1474	145
910	1475	144
911	1476	142
912	1477	140
913	1479	139
914	1480	137
915	1481	135
916	1482	134
917	1483	132
918	1484	130
919	1486	129
920	1487	127
921	1488	125
922	1490	124
923	1491	122
924	1493	121
925	1494	119
926	1496	117
927	1497	116
928	1498	114
929	1499	112
930	1501	111
931	1503	109
932	1504	108
933	1505	106
934	1506	104
935	1507	103
936	1508	101
937	1510	99
938	1511	98
939	1512	96
940	1513	94
941	1515	93
942	1517	91
943	1518	90
944	1519	88
945	1521	86
946	1522	85
947	1523	83
948	1524	81
949	1525	80
950	1527	78
951	1529	77
952	1530	75
953	1531	73
954	1532	72
955	1534	70
956	1535	68
957	1536	67
958	1537	65
959	1538	64
960	1539	62
961	1541	60
962	1542	59
963	1544	57
964	1545	56
965	1546	54
966	1547	52
967	1548	51
968	1550	49
969	1551	47
970	1552	46
971	1553	44
972	1555	43
973	1556	41
974	1557	39
975	1559	38
976	1560	36
977	1561	35
978	1562	33
979	1563	31
980	1565	30
981	1566	28
982	1567	27
983	1568	25
984	1570	23
985	1571	22
986	1572	20
987	1573	19
988	1574	17
989	1576	15
990	1577	14
991	1578	12
992	1580	11
993	1581	9
994	1582	7
995	1583	6
996	1585	4
997	1586	3
998	1587	1
999	1588	0
